rec2018-01-22_17h41m33.475s.wav,Exhale,6015,17437
rec2018-01-22_17h41m33.475s.wav,Inhale,20840,31655
rec2018-01-22_17h41m33.475s.wav,Drug,31898,37610
rec2018-01-22_17h41m33.475s.wav,Exhale,43686,59969
rec2018-01-22_17h41m49.809s.wav,Inhale,5043,17316
rec2018-01-22_17h41m49.809s.wav,Drug,18288,24364
rec2018-01-22_17h41m49.809s.wav,Exhale,31412,46724
rec2018-01-22_17h42m07.718s.wav,Exhale,303,9782
rec2018-01-22_17h42m07.718s.wav,Inhale,16951,28010
rec2018-01-22_17h42m07.718s.wav,Drug,29225,35179
rec2018-01-22_17h42m07.718s.wav,Exhale,40891,56081
rec2018-01-22_17h42m23.769s.wav,Exhale,6865,19139
rec2018-01-22_17h42m23.769s.wav,Exhale,50612,66045
rec2018-01-22_17h42m23.769s.wav,Inhale,22784,36637
rec2018-01-22_17h42m23.769s.wav,Drug,38460,45508
rec2018-01-22_17h44m03.761s.wav,Inhale,21083,33113
rec2018-01-22_17h44m03.761s.wav,Drug,34329,40405
rec2018-01-22_17h44m03.761s.wav,Exhale,45751,59362
rec2018-01-22_17h44m21.408s.wav,Exhale,20597,33478
rec2018-01-22_17h44m21.408s.wav,Inhale,37124,49518
rec2018-01-22_17h44m21.408s.wav,Drug,51098,59483
rec2018-01-22_17h44m21.408s.wav,Exhale,62035,73701
rec2018-01-22_17h44m39.521s.wav,Exhale,18288,31534
rec2018-01-22_17h44m39.521s.wav,Inhale,35665,48425
rec2018-01-22_17h44m39.521s.wav,Drug,50369,57539
rec2018-01-22_17h44m39.521s.wav,Exhale,60577,73336
rec2018-01-22_17h44m56.745s.wav,Exhale,5529,20475
rec2018-01-22_17h44m56.745s.wav,Exhale,47088,58268
rec2018-01-22_17h44m56.745s.wav,Inhale,23270,38703
rec2018-01-22_17h44m56.745s.wav,Drug,40405,45387
rec2018-01-22_17h45m12.839s.wav,Inhale,6865,15736
rec2018-01-22_17h45m12.839s.wav,Drug,15736,23878
rec2018-01-23_10h42m07.256s.wav,Exhale,10025,21691
rec2018-01-23_10h42m07.256s.wav,Inhale,27281,38946
